Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Energy Consumption,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,Proportion of Energy from Renewables,R&D Expenditure,Renewable Energy Patents,Innovation Index,GDP,Population,Government Policies,Renewable Energy Targets,Public-Private Partnerships in Energy,Energy Market Liberalization,Ease of Doing Business,Regulatory Quality,Political Stability,Control of Corruption,CO2 Emissions,Average Annual Temperature,Solar Irradiance,Wind Speed,Hydro Potential,Biomass Availability
China,2014,Geothermal,30503.64217,31782.57697,475421271.4,2924.349376,937.9153728,0.100855744,0.429700221,45199474.29,87.56884845,3651714913,863,0.254000431,1.92584E+14,1450656084,1,0,1,1,24.55238564,4.223141975,9.677124037,4.934323162,241323.2905,30.0635877,148.3792714,13.45331414,7.425742786,38.16658241
France,2019,Biomass,22154.18063,23907.02157,8487020088,975813.9572,314.034291,0.891530231,0.10767105,917777900.9,20.65342959,6513485464,874,91.94767818,1.05668E+14,365957186,1,1,0,1,2.06300884,1.801732319,8.784623833,5.478087355,837652.7256,11.33799486,227.3757389,2.089572417,92.3875873,12.42150408
Germany,2020,Biomass,18351.90828,4139.684725,1828323347,405547.4394,497.201264,0.866277391,0.421930427,376687216.3,53.77497407,6084069017,509,68.58532611,5.27209E+13,469638161,1,0,1,1,48.91992707,9.264592286,8.160480373,4.925915443,220608.8775,30.32208096,253.3043963,14.29901637,75.42199027,75.57967664
France,2010,Solar,16851.85571,29291.13741,8892920159,689533.1344,966.5436817,0.959494126,0.057062529,41128482.48,83.30930678,3229022195,886,84.07659797,1.20404E+13,870291967,1,1,0,0,92.98390041,4.6582841,6.775362424,0.163973332,988480.3972,16.24019893,214.111311,8.851163101,62.08088916,25.23951298
China,2006,Solar,91204.43522,31557.86838,1612004384,484198.4274,334.5596567,0.38807581,0.089536959,503330431.8,41.90903844,3904517737,500,55.36565066,1.36573E+14,939374964,0,1,0,1,0.788379286,6.277450823,5.769960757,3.07132719,607577.5629,18.39990219,126.3017116,7.911362756,57.93936504,83.18746786
USA,2006,Solar,84289.71195,40503.66206,435536891.3,15960.03525,849.7004841,0.868772644,0.224855746,677842398.3,70.16421854,9191336470,703,34.03025411,1.75218E+14,317960541,0,1,1,0,46.20986448,6.983563003,3.490599046,8.428441828,877171.4613,-0.48793171,144.0322264,3.317830348,94.30930821,3.319731108
Germany,2006,Geothermal,29425.93426,5374.46911,6213168549,635379.8143,855.8424032,0.366686485,0.288716175,690367101.6,77.61117424,5266766039,273,99.86136057,4.78244E+13,109355249,0,1,0,1,25.68022985,2.956710194,1.093392566,1.180436658,483568.695,34.35602439,225.014147,14.43610886,61.29257509,34.44132716
Brazil,2019,Solar,11755.57025,33452.14384,4147890343,615252.2589,719.9058523,0.128330082,0.373986976,474193996.9,28.97506977,3308868752,211,16.75483335,5.23257E+13,418011535,1,1,0,0,78.09470914,8.985243801,3.128358152,7.877435971,308421.6994,30.12968413,195.0047832,14.39661895,16.01036598,94.62290608
France,2010,Biomass,63144.38199,28321.58303,399806747.8,439326.9709,727.2839368,0.72265038,0.33565709,210435232.4,1.315833982,6093535689,86,94.83621865,1.35314E+14,1050073912,1,0,0,1,18.00241515,5.089211069,3.636497941,8.616424949,890852.8879,3.454594676,186.3259822,2.964669837,2.060284088,18.1342477
France,2022,Wind,8118.768692,31558.32934,2932029525,738818.239,97.69558343,0.986981731,0.476325201,36285877.36,52.62979058,4360581829,361,76.74838711,1.95155E+14,307620936,1,0,1,0,58.18831,8.029708532,0.649751854,0.406974333,740000.2303,30.00083607,153.2465398,6.929748675,73.7264742,3.295793277
Russia,2010,Solar,22678.92155,2066.750081,2757347786,307747.4053,660.9836858,0.77881873,0.080866932,662482558.6,12.20749653,7657347080,646,93.4237862,4.52956E+13,427717642,1,0,0,1,34.73053771,2.145369881,9.346469461,5.133430382,505890.4845,32.60804022,233.6779453,2.651417354,63.04857338,96.14047148
USA,2012,Geothermal,53191.77295,29412.07942,7265713416,154973.0002,113.1073663,0.156007764,0.383886079,99230867.85,96.1743403,5203855639,913,83.22411431,56039654636,246244624,1,1,1,0,70.14902121,8.136506142,2.427177568,1.479170392,483513.3147,34.45419102,100.2624714,1.218306802,5.714235498,93.81739747
Russia,2020,Solar,50722.20706,13774.21074,28981954.19,980846.4539,153.2798546,0.194956321,0.26749814,419308631,75.36772794,8198701903,811,10.09075814,6.81356E+13,1088421612,1,1,1,1,76.29827415,0.775203444,5.354181062,1.235489712,384926.3961,12.1664578,289.7328036,8.226627304,46.39396629,57.87188804
Brazil,2016,Wind,20002.3043,35888.94588,3311385165,307257.1146,839.5685973,0.511475683,0.068918495,65890228.39,23.24809043,9824478753,543,23.77726806,1.75571E+14,715105720,1,1,1,1,11.37840929,9.022718396,6.69994506,0.286571086,92752.15752,38.42615813,298.4133283,5.911023335,33.56103127,14.37677366
Canada,2008,Biomass,88197.41448,7851.918198,3560980048,318026.7783,930.8360163,0.642701252,0.261233924,408765064.4,38.68302456,75787430.16,284,61.92503737,1.74678E+14,179191600,0,1,1,0,83.38226403,9.473509589,0.774675858,2.728374761,746763.7178,38.1187688,278.7735643,0.637938857,40.09597227,92.61356167
USA,2004,Biomass,10680.47113,4394.82165,7350532949,1264.851083,436.1412169,0.44225172,0.203773403,442169118.9,9.883972867,9964279866,595,82.02203581,5.57383E+13,906341031,1,0,0,0,59.60084903,6.124974724,6.626081996,3.635303505,709197.4987,12.54695374,132.2487211,8.838074808,76.25417264,65.14859978
Germany,2004,Solar,84155.01483,23056.78539,6352056457,223148.6768,933.186562,0.497796994,0.411675624,378106992.3,9.065077968,7244286881,952,19.68000339,1.49069E+14,467975027,1,0,1,1,3.969755828,2.149094924,3.882186513,6.775445296,90810.91668,24.34317355,133.3847488,2.518981719,97.23904356,46.12005915
France,2007,Biomass,85058.08869,48864.03435,8328534797,925040.2264,127.1673173,0.080716796,0.206234764,753533992.1,83.67395253,6327828537,508,39.49886362,1.33255E+14,475274775,1,0,1,0,27.59753866,4.300986254,2.923136173,4.657835289,827176.4357,38.35724911,251.1607255,14.26104822,77.02357763,11.22517923
Germany,2015,Solar,29167.69368,35187.0553,8801013401,752809.653,281.4853791,0.581242939,0.404247521,5221885.607,21.6556538,268453111.2,360,27.30341456,1.83343E+14,1374881359,1,0,1,0,48.58634482,8.75843681,5.632149825,1.941600743,77329.75566,25.06155721,201.9046538,8.627470758,42.76315606,77.18408792
China,2001,Solar,70143.22635,35866.71365,8989019857,578532.8975,893.9860152,0.921879929,0.474811187,295184690.5,42.38214665,4990493758,978,11.94121127,1.79813E+14,442235891,1,1,0,1,77.20585655,9.601203922,2.235044586,8.107166558,978804.5523,3.324535903,270.4146501,12.53137474,63.45408772,93.42789486
Brazil,2007,Solar,46602.61649,26284.74877,1348425994,424380.0462,705.8538122,0.671018668,0.200848488,307167119.6,72.37322337,2212962376,42,19.69879218,8.9237E+12,616299198,1,1,0,0,23.92728327,9.545268513,9.21045186,6.203707376,322712.1258,16.31196852,248.6345834,13.5275646,93.18167187,91.18398833
Brazil,2010,Solar,20829.13106,5541.267057,2515442676,140912.1307,7.97313093,0.810717374,0.467499912,724400881.5,35.59846692,8603083115,737,10.765877,4.5543E+13,500569280,1,1,0,1,86.54245055,0.411847294,0.264288957,2.93269453,998758.162,22.69475661,201.0395306,6.57122566,29.09928146,22.25300241
USA,2023,Geothermal,28315.30414,37366.90447,7868287984,219025.7227,519.0950471,0.455777946,0.121768182,369505078.8,15.81208132,5067586924,815,98.48350015,5.55234E+13,818824356,1,0,0,1,43.80902031,1.341141498,9.431339046,6.775415656,930163.8732,-5.930133845,100.173426,11.30295165,0.207404716,38.52561994
UK,2007,Biomass,21195.11392,33509.08496,9807945681,932992.4825,265.6353588,0.796156855,0.410374635,137490594.2,66.2306826,6614302236,101,74.29247589,1.01319E+14,131669554,0,1,1,1,59.22349956,8.860720392,1.162720991,7.030838156,661459.9217,13.7763261,269.192222,1.486809528,92.50650388,41.4766405
Japan,2022,Hydro,42019.73044,47672.61212,4717472781,857007.6446,853.2917207,0.177462652,0.386411404,894112157.3,77.43114297,2418087710,341,46.67028797,1.92999E+14,88083841,0,1,0,0,9.172803005,3.634175184,2.733835048,5.087999421,290969.0868,29.64566051,202.2898516,7.57496637,7.442143432,43.99201586
Canada,2001,Solar,11335.7814,12837.47869,5538384160,362225.7064,164.2926988,0.81776436,0.250071706,449751868.7,36.58320345,7110248960,858,16.89265455,2.33547E+12,1204150827,0,1,0,1,38.35668047,3.420924147,6.24968847,5.478924311,411997.3369,38.27384331,153.0653837,6.323562529,61.64461606,7.944726037
Australia,2007,Hydro,59493.18058,13513.11749,232934346,726757.4732,724.1460676,0.393845782,0.059152136,125254412.3,10.37760741,1656870884,233,66.08091098,1.18199E+14,741405971,1,1,0,1,11.82811427,5.782344962,9.460758253,0.505921435,705960.1257,-4.520045971,183.4209344,7.902323638,31.85623607,79.7265157
Germany,2018,Wind,9700.930717,39229.28209,532247902.1,58455.192,30.50452202,0.576851266,0.425402713,700679588.7,74.48937218,6647347350,221,31.13156814,1.29232E+14,1445377306,0,1,1,1,91.07830276,2.132283677,6.864116489,9.936617707,687268.6984,34.18295631,216.9114545,4.368670784,3.07631761,94.57706918
Canada,2001,Biomass,33171.04553,648.9254461,3471871319,212996.8135,428.954562,0.869521409,0.191214368,539459096.5,7.482556753,8284087081,87,92.17766633,9.19658E+13,472725941,0,1,0,0,40.3950224,7.344577606,7.922377871,8.472789157,122435.3014,13.19960687,162.2921046,14.87381528,80.02934744,0.116467559
India,2005,Wind,91922.4398,6811.297208,8411421721,663094.8329,719.8944508,0.972059974,0.446948032,723990078.9,81.77098519,9699482302,987,33.50275901,3.44646E+13,892894357,0,0,1,1,93.79860721,0.251747322,3.779513008,6.217442741,65007.78026,20.69637722,247.9664977,2.249650536,49.68325002,31.1076021
France,2016,Wind,13992.86845,23572.64099,2620882006,131912.2665,179.5700608,0.07373435,0.293400691,627638921.7,22.32793334,4593301731,389,58.87518677,1.60698E+14,1200098320,0,0,0,0,65.45591329,1.645737001,2.582020383,2.035587019,495563.8158,26.52797248,121.3732989,14.55507566,22.39552283,96.31082631
Germany,2011,Wind,82209.71051,43995.42754,8935135481,314239.1408,234.1154473,0.872574074,0.338176676,163406281.8,28.72014137,7366239585,214,84.19899389,2.66087E+13,708063467,1,0,1,0,98.79129007,9.212699395,3.244720793,3.029308368,614571.085,1.700400673,218.4779747,2.245338915,50.3792898,99.89026397
France,2012,Solar,58374.80788,328.0859242,3919368982,946755.1752,947.6767132,0.418152723,0.149642988,227194532.9,84.69427193,3688378913,295,72.68164863,8.72478E+13,1308569178,1,1,1,0,49.14676321,0.909483084,2.704699491,0.348127948,853831.7657,-3.550257336,102.0109329,6.079962056,20.75756474,93.97594085
India,2014,Solar,58531.58887,5827.722699,6201958391,184770.0925,550.4696413,0.948609319,0.302828979,460599933.2,71.50766783,2678076244,988,13.4925238,1.63153E+14,1465595104,0,1,0,1,73.24553675,6.856303858,2.257131006,7.257781691,658154.8242,-7.28706857,192.2113184,10.74227454,43.78978407,88.61828258
India,2001,Wind,24568.69703,2993.176964,6468475303,621121.5616,191.5886145,0.891722364,0.30346666,795450492,5.932437359,7119227244,328,58.96153815,6.47391E+13,372446243,0,0,0,1,75.20978538,2.967737559,7.820784179,2.273494625,199349.1545,31.38321697,254.3307134,4.555183063,71.33050368,88.20465022
Australia,2004,Biomass,22583.52351,4196.538273,4771648215,790022.2412,232.6029112,0.836080905,0.312936479,831716433.7,64.44649041,9141353494,507,53.09099136,9.79544E+13,847349536,0,1,1,0,44.70365341,4.310179949,7.02193575,0.608108367,105539.3121,24.10660208,132.8069012,2.262604755,44.83290575,76.72167431
Canada,2004,Solar,7406.910181,46665.80326,3203470225,18823.40954,480.9814152,0.929353189,0.465903099,673109029.4,77.52874118,7268786669,917,92.12680712,2.10283E+13,1030408038,0,1,1,1,69.21391273,3.319596483,6.824320165,7.013332149,891348.9171,-9.55466109,293.043357,8.752839165,38.43164224,32.38938064
France,2019,Wind,12047.84938,37156.11252,8043509440,339586.8087,654.218985,0.820589446,0.371463386,952786879.1,15.43120337,1371408603,303,16.58912407,9.68691E+13,101196663,1,1,0,1,53.45954537,3.338896398,9.218823344,2.601484924,760783.4905,3.712089595,175.1746927,9.586517519,21.87029504,58.8381759
France,2011,Geothermal,1852.788228,30015.85856,4128687307,90864.14692,715.4096913,0.326118506,0.243084102,330658160.9,0.373315315,5277801266,903,90.67008588,1.00435E+14,1042479226,0,0,1,1,60.23183515,8.367070812,0.099959497,6.77139438,397269.0333,17.77156407,215.9417467,7.083460187,22.16668349,30.53157305
Japan,2021,Hydro,60968.7182,44580.82558,7008888527,774381.3985,637.8433167,0.770926609,0.493392038,569638132.4,21.78426535,6803073444,17,54.96322743,1.29006E+14,245263507,0,0,1,1,40.10363383,9.968767511,5.142535853,4.388308254,117908.1508,-3.076776071,274.6256129,3.594292408,80.92910584,7.371614053
India,2010,Geothermal,26062.07572,48032.10174,254296339.1,337616.8862,538.9466659,0.044879591,0.492462871,856374005.1,50.13039796,2991813734,635,28.74159779,1.23695E+14,115435313,1,1,0,1,44.9365706,6.530595403,7.218446922,5.951144875,175208.8927,17.78070696,133.9763869,5.367292184,11.50530721,81.89317754
India,2008,Geothermal,86255.39869,1284.541216,9067859771,813118.37,37.83095991,0.486728995,0.253609061,167551921,88.97974638,5053211981,299,59.55840245,1.17482E+14,469446643,1,0,1,0,76.99650358,0.410464072,7.913208668,7.836981836,626210.1985,21.87370338,179.5978299,10.67952799,4.896000852,29.70168141
USA,2002,Solar,73380.3081,30804.68528,7065652820,528914.7771,780.3007358,0.281692331,0.182657037,133841433.6,65.18305158,2473448152,930,93.33797682,1.47775E+14,737845046,0,0,0,1,81.46344833,4.121760693,6.840060139,8.802635802,550357.2964,20.26691089,203.4106382,11.63681879,48.70460535,28.94425606
Canada,2019,Geothermal,16255.67842,32918.6712,8276411419,977171.1858,920.219949,0.905413938,0.251457909,59174264.77,55.2831864,201998320.2,223,40.88458933,1.23178E+14,802865134,1,0,1,1,36.44846041,6.11001518,2.075309126,0.042338303,704923.8902,38.81464475,174.5394833,9.671607921,30.11861365,9.49652433
Brazil,2008,Hydro,9890.183026,352.9932442,3345029303,787877,827.511239,0.751347207,0.080156664,182074810.9,50.99041109,900270847.1,238,64.17941362,4.32091E+13,1034290718,1,0,1,0,21.84011167,4.385444985,5.332970698,5.547088702,323151.4016,9.363221109,179.7230901,9.820470243,26.77473935,63.44779287
Brazil,2006,Hydro,30432.67469,35180.42554,2721380252,430145.9248,920.0315782,0.823718627,0.268043541,987019527.4,65.9582884,2581494398,115,55.97316459,1.85851E+14,1422680909,0,1,1,0,9.217601447,0.767224444,7.007331435,9.534718829,249423.3899,15.42755448,109.001502,8.789238152,30.60523981,83.34826524
Canada,2016,Hydro,97747.01326,1573.383011,3429908551,894672.0431,146.8684957,0.011382292,0.063957105,345294267.5,84.86198218,1571521127,59,53.43753647,1.69578E+14,1345546062,1,0,1,1,14.50932294,9.906054562,2.613798428,4.846161611,3616.759556,19.77167514,271.652151,0.54276111,66.79629802,71.94317668
USA,2004,Wind,54159.84837,32795.51844,8593507998,934525.6616,571.2975641,0.632446075,0.26566522,331636116,57.01407215,6075702136,79,84.98801128,1.12653E+14,1016357696,0,0,1,1,86.28256088,7.026037609,6.649875104,7.290494566,466246.0642,1.850815636,249.9853456,13.69882367,83.40051444,5.270789773
China,2018,Hydro,45574.23933,25716.30036,4320554985,400636.0203,60.47408977,0.58946733,0.08448913,778023921,69.94509073,8788038123,891,9.123254327,7.0258E+13,523955793,1,0,1,0,84.42468419,0.39413258,6.605573115,0.553269918,359803.8434,23.09248979,151.9807736,11.21911776,36.08883374,63.38758372
Japan,2014,Wind,36100.27416,18856.81253,8423583285,690317.7986,27.33526329,0.649167447,0.252278823,957410108,63.16770652,1425041558,316,18.83546673,1.51678E+14,1451861119,1,1,1,1,74.22633051,0.964818572,4.521714756,8.30050718,167863.5372,13.96542037,168.3561807,0.146838962,66.05989548,52.53470469
USA,2010,Hydro,75283.25298,30253.58274,3183063502,283751.0026,263.2724255,0.607633129,0.37960949,355277259.6,85.21064123,2384274484,635,77.68901036,1.29408E+14,74059590,0,1,1,0,14.90394432,3.693861939,6.187023661,9.136824197,361382.6693,27.99016431,199.8537796,0.259607762,96.52786792,30.62432236
Germany,2004,Hydro,1100.559119,49738.21263,8722454586,631905.6535,691.4627206,0.569607779,0.365680212,503534204.2,64.07146826,716351630.9,190,20.61566936,1.13138E+14,1078052921,1,0,0,1,50.6424974,4.669856936,7.206349676,3.042872174,685366.695,30.96666784,265.5393061,3.940388979,73.42357483,35.31444759
India,2021,Wind,96753.54151,36634.48438,9515623541,415268.9321,113.3968261,0.290775714,0.174907727,192060983.8,63.43583437,2235913114,378,29.20976441,1.86251E+14,962932242,1,1,0,0,66.72153401,4.380723055,3.870003203,7.959967898,280818.756,1.133198762,228.3920994,13.48772202,36.93888,87.89608294
Russia,2014,Solar,8940.494557,37704.21242,3090052106,278121.5817,798.407663,0.935927109,0.101568579,97901344.79,56.6172785,3475110304,321,38.69757764,1.69195E+14,993241107,1,1,0,0,32.25696409,2.118616068,4.266524894,8.313897922,250364.4048,-8.08435552,110.4203799,2.101215582,27.31093416,84.80695942
Russia,2021,Biomass,65570.88821,18841.21388,9373341207,933084.3844,953.7944592,0.622674818,0.062910571,632332093.1,56.84856369,3427897524,924,92.50358095,7.64036E+13,397955173,1,1,1,1,47.23686477,8.862327851,6.785629647,2.016735693,708720.8538,8.106566909,118.8521599,12.20611266,50.45982888,41.99809048
Canada,2012,Wind,35937.79914,34375.42131,7485606663,228784.2531,261.9794022,0.069965961,0.344081757,6346484.902,59.808523,3725215441,883,54.83713408,8.19243E+13,468789681,0,1,0,1,37.9308174,7.462399471,1.020524517,1.089631046,639815.6164,14.25895706,170.0072763,12.06146668,96.86018014,25.89608228
Canada,2007,Solar,28571.582,49317.50718,2839124252,16551.09899,648.0724861,0.697290617,0.057128897,9348930.273,31.66247189,1224539.03,925,33.60148008,1.2487E+14,837504424,1,0,1,0,53.3640085,2.384988543,3.666534543,4.082024693,525974.0297,3.930443968,229.0267742,11.22963118,90.06847375,25.17274727
USA,2011,Hydro,37899.03025,16752.80497,5705983366,336263.371,430.3720662,0.111276608,0.35307052,648527683.1,83.10679316,8690606064,596,80.48285874,2.7864E+13,550240725,1,0,0,1,27.21708858,3.143966166,8.283257285,8.988163346,972965.4647,-8.753313912,121.5820018,0.000751775,10.09448959,36.10448959
Brazil,2012,Hydro,69227.30883,20616.88155,834828340.6,231517.5891,661.1975984,0.227165497,0.484847746,623853202.6,85.20830044,9658003967,981,5.700000486,1.16909E+14,802980989,1,0,1,0,45.86175448,9.646673982,0.691688274,0.878183644,682154.507,27.16525311,279.4532032,10.0733279,35.96351813,92.17709851
Canada,2019,Solar,52126.84453,40081.42364,7135948284,739544.4898,187.8228987,0.202478962,0.07091126,244633199.2,79.28254124,3563414450,554,29.4285923,1.20454E+14,1093869875,0,1,0,1,14.77160684,6.458424651,0.247862642,6.028392528,749893.3439,10.87675626,211.6169475,13.90447993,90.62533834,8.877278968
Australia,2022,Biomass,85432.04189,1326.084493,6385208346,236032.4519,143.6126531,0.284328496,0.439940327,540593321,72.22866543,5520966712,890,47.76165961,6.15764E+13,115473182,0,0,0,1,35.74952761,9.520795828,4.612172503,3.712382366,973622.2325,15.93651505,132.4101718,14.13303775,56.70749291,23.62560592
Canada,2022,Biomass,69302.84816,44639.48889,7593619491,430356.6123,924.2376195,0.045026192,0.263515236,24440807.93,52.56884136,8679841952,377,56.8702402,6.94597E+13,91664880,1,1,1,0,92.42636132,1.977009031,9.750869772,9.730908579,688392.9193,21.55030363,283.2879604,11.24068064,57.35301433,54.43256686
Russia,2013,Hydro,43390.65943,6136.523566,8804003874,13978.86769,17.43736757,0.260857902,0.238526823,343370056.4,23.49654219,6483108425,344,52.42751872,1.81479E+14,1200439585,1,0,1,0,22.40998905,8.588319743,5.309146546,7.461208069,577054.2485,14.65070851,163.3741346,9.733445612,32.17260387,57.95900569
Germany,2003,Solar,81326.27604,23764.18834,4071323707,790301.0111,567.9967362,0.439812488,0.052473319,912797388.1,14.97670726,7058845891,425,38.08712589,1.72734E+14,204048611,1,1,1,0,15.34953791,7.810682513,7.374375645,6.126266855,847936.4076,-3.711484635,163.0269255,12.7149127,82.9323836,93.58957972
Brazil,2011,Solar,42401.94804,41722.02934,6184476844,904734.1921,716.0673901,0.533092895,0.47282748,588109668.1,61.21846825,5955593821,653,27.39822924,2.53261E+13,1454219681,1,1,0,0,81.59961307,3.808781112,2.411572921,8.347977825,986189.9931,30.60683197,193.7496081,12.82931292,75.37729161,78.85155737
India,2015,Hydro,17112.77902,27122.03936,6006024245,136294.5147,160.8498711,0.607175852,0.138449193,398492578.1,91.63204971,9238835004,504,12.1349798,1.8324E+13,1402662732,0,0,1,1,70.50495548,5.500503821,3.740354264,5.488955338,161799.989,10.32123595,136.3983558,8.58238421,69.08041521,98.5647387
Australia,2022,Geothermal,79039.48773,424.6644912,919814863.7,292245.9838,993.9835466,0.230039851,0.334952767,294387661.3,69.65855308,3566859567,562,55.93172558,7.53778E+13,859335536,1,1,1,1,67.02682611,2.719793334,6.910330174,4.954647792,373849.4232,3.878534728,194.3022814,1.566825328,13.98995237,15.32128755
India,2023,Hydro,2763.530124,24746.57261,2514232827,995697.8842,545.6375453,0.90559148,0.073666104,843765719.4,6.554217148,7339895733,123,17.07560499,1.12637E+14,990514197,1,0,0,1,7.541009681,3.956166135,8.553391932,0.320380855,651646.1052,37.73949052,292.355292,9.493754825,1.119615703,33.78888153
China,2006,Hydro,86680.39205,47951.32722,9777638087,191848.4503,722.3969404,0.824742101,0.45307767,287939206.9,50.03620054,4543640616,592,97.10989401,6.33198E+13,1078787787,0,1,1,0,17.20225051,6.985076554,2.150537411,6.083307015,694491.1786,33.30378209,287.7755994,13.80425825,9.586906898,50.15256294
